74,○,キャンパススクエア（地下鉄学園都市駅北）,公共,西区学園西町1-4,新設,34.682826,135.057592
75,◎,太山寺地域福祉センター,公共,西区前開南町2-1-20,新築,34.686086,135.047314
76,○,西神南センタービル,公共,西区伊吹台東町1,既存改修,34.699837,135.031703
77,○,セリオ,公共,西区,既存改修,34.700313,135.03061
78,◎,西神戸医療センター,公共,西区糀台5-7-1,新設,34.716926,135.018871
79,◎,ラジウム温泉太山寺,公共,西区伊川谷町前開270-1,既存改修,34.695606,135.063661
80,◎,ポートライナー　三宮駅,公共,中央区,新設,34.694551,135.195238
81,○,ポートライナー　中公園駅,公共,中央区港島中町４丁目,新設,34.67325,135.207398
82,○,ポートライナー　みなとじま駅,公共,中央区港島中町4,新設,34.66907,135.209997
83,○,ポートライナー　神戸空港駅,公共,中央区神戸空港,新築,34.637198,135.228953
84,○,ポートライナー　先端医療センター前駅,公共,中央区,新築,34.658611,135.216367
85,○,ポートライナー　京コンピュータ前駅,公共,中央区,新築,34.654846,135.221728
86,◎,神戸高速鉄道　高速神戸駅,公共,中央区,新設,34.679363,135.174434
87,○,地下鉄西神・山手線　新神戸駅,公共,中央区,既存改修,34.704828,135.195726
88,○,地下鉄西神・山手線 三宮駅（西口）（東口）,公共,中央区,既存改修,34.693874,135.192312
89,○,地下鉄西神・山手線　県庁前駅,公共,中央区,既存改修,34.690983,135.183908
90,○,地下鉄西神・山手線 大倉山駅,公共,中央区,既存改修,34.684457,135.174478
91,○,地下鉄西神・山手線　上沢駅,公共,兵庫区,既存改修,34.673329,135.158464
92,○,地下鉄西神・山手線　湊川公園駅
（西口）（東口）,公共,兵庫区,既存改修,34.679427,135.167324
93,○,地下鉄西神・山手線　長田駅,公共,長田区,既存改修,34.668408,135.151412
94,○,地下鉄西神・山手線 新長田駅,公共,長田区,既存改修,34.657835,135.145124
95,○,地下鉄西神・山手線　板宿駅,公共,須磨区,既存改修,34.659971,135.134481
