58,中央区,旧神戸居留地十五番館,きゅうこうべきょりゅうちじゅうごばんかん,650-0035,神戸市中央区浪花町15,34.687189,135.192368,少年H,少年Hと父親・盛夫がフランス料理屋のオーナーシェフを訪ねるシーン
59,兵庫区,兵庫突堤,ひょうごとってい,652-0845,神戸市兵庫区築地町,34.667532,135.184751,夏の終り,知子（満島ひかりさん）が外国から戻る港で、涼太（綾野剛さん）が出迎えるシーンを撮影
66,中央区,海外移住と文化の交流センター,かいがいいじゅうとぶんかのこうりゅうせんたー,650-0003,神戸市中央区山本通3-19-8,34.697365,135.184571,僕の彼女はサイボーグ,ジロー（小出恵介さん）が家の外（屋上）から空き缶を投げるシーン
70,兵庫区,神戸市営地下鉄上沢駅,こうべしえいちかてつかみさわえき,652-0047,神戸市兵庫区下沢通8,34.673267,135.158325,GO,杉原（窪塚洋介さん）が迫り来る地下鉄を背に線路を走った
74,中央区,神戸税関,こうべぜいかん,650-0041,神戸市中央区新港町１２?１,34.685095,135.198178,ALWAYS三丁目の夕日'64,昭和64年の出版社の外観として
75,中央区,ハーバーランドセンタービル,はーばーらんどせんたーびる,650-0044,神戸市中央区東川崎町1-3,34.678928,135.180277,DOG×POLICE「純白の絆」,警備犬を扱う警察官（市原隼人さん、戸田恵梨香さん）らが大活躍するシーンを撮影
77,中央区,大丸神戸店,だいまるこうべてん,650-0037,神戸市中央区明石町40,34.688744,135.190534,僕の彼女はサイボーグ,彼女（綾瀬はるかさん）が洋服を物色するシーンを撮影
78,中央区,三宮中央通り,さんのみやちゅうおうどおり,650-0021,神戸市中央区三宮町1,34.691133,135.194557,阪急電車,翔子（中谷美紀さん）がビジネス街の人波の中、たたずんだ場所
79,中央区,グリル十字屋,ぐりるじゅうじや,650-0033,神戸市中央区江戸町96,34.691451,135.194407,マイ・バック・ページ,沢田（妻夫木聡さん）が、モデルの倉田眞子（忽那汐里さん）とデートしたレストラン
80,中央区,中突堤中央ターミナル（かもめりあ）,なかとっていちゅうおうたーみなる（かもめりあ）,650-0042,神戸市中央区波止場町6,34.682558,135.184836,ふたたび　SWING ME AGAIN,神戸に着いた貴島（財津一郎さん）たちを、孫（鈴木亮平さん）が迎えにくるシーンを撮影
82,兵庫区,岡方会館,おかがたかいかん,652-0834,神戸市兵庫区本町2-3,34.66967,135.174012,新宿インシデント,鉄頭（ジャッキー・チェンさん）の会社「東華商事」のシーンを撮影。アクションも。
85,中央区,はねっこ広場,はねっこひろば,650-0044,神戸市中央区東川崎町1-5,34.67747,135.182436,Sweet Rain 死神の精度,千葉（金城武さん）と一恵（小西真奈美さん）がチンピラから逃げ延び、コイントスをするシーンを撮影
86,中央区,南京町,なんきんまち,650-0023,神戸市中央区栄町通,34.688081,135.188476,新宿インシデント,鉄頭（ジャッキー・チェンさん）がチンピラを撃退するシーン
89,中央区,神戸ポートピアホテル,こうべぽーとぴあほてる,650-0046,神戸市中央区港島中町6-10-1,34.664576,135.214786,アウトレイジ,本館2Fのバーで、グバナン大使がパーティを開催するシーン
96,須磨区,ほっともっとフィールド神戸,ほっともっとふぃーるどこうべ,654-0163,神戸市須磨区緑台,34.680935,135.073471,走れ！イチロー,旧グリーンスタジアムには、４人の「イチロー」が登場
99,中央区,神戸学院大学ポートアイランドキャンパス,こうべがくいんだいがくぽーとあいらんどきゃんぱす,650-0045,神戸市中央区港島1-1-3,34.670276,135.203912,シャニダールの花,シャニダール研究所施設のシーンを撮影
101,西区,プレンティ,ぷれんてぃ,651-2273,神戸市西区糀台5-2-3,34.719252,135.019999,DOG×POLICE「純白の絆」,警察官（市原隼人さん、戸田恵梨香さん）らが、とある場所を歩くシーンを撮影
102,中央区,神戸メリケンパークオリエンタルホテル,こうべめりけんぱーくおりえんたるほてる,650-0042,神戸市中央区波止場町5-6,34.680326,135.188382,走れ！イチロー,奥手川（石原良純さん）が缶詰になり執筆しているスイートルームのシーンを撮影
103,垂水区,三井アウトレットパーク　マリンピア神戸,みついあうとれっとぱーく　まりんぴあこうべ,655-0036,神戸市垂水区海岸通12-2,34.625686,135.047357,ミロクローゼ,子ども時代のオブレネリ・ブレネリギャー（下地幸多さん）が、ミロクローゼ（マイコさん）とデート
104,中央区,ポートアイランド北公園,ぽーとあいらんどきたこうえん,650-0045,神戸市中央区港島2,34.676745,135.204436,ウルトラマンメビウス＆ウルトラ兄弟,悩めるタカト（田中碧海さん）をミライが励ます名シーン
105,中央区,エビアンコーヒー,えびあんこーひー,650-0022,神戸市中央区元町通1-7-2-1F,34.689184,135.189192,マイ・バック・ページ,沢田（妻夫木聡さん）が、先輩記者（古舘寛治さん）と話し合った喫茶店
108,中央区,カフェフィッシュ,かふぇふぃっしゅ,650-0042,神戸市中央区波止場町2-8,34.684733,135.189739,阪急電車,ミサ（戸田恵梨香さん）が、マユミ（相武紗季さん）同席で彼氏と話し合ったカフェ
110,中央区,ビーナスブリッジ,びーなすぶりっじ,650-0006,神戸市中央区諏訪山町1,34.697165,135.180706,初雪の恋 ～ヴァージン・スノー～（未掲出）,なし
111,垂水区,シーサイドホテル舞子ビラ神戸,しーさいどほてるまいこびら,655-0047,神戸市垂水区東舞子町18-11,34.63131,135.038801,ウルトラマンメビウス＆ウルトラ兄弟,ウルトラマンＡの北斗星司（高峰圭二さん）はレストランのシェフだった。
118,兵庫区,神戸昇天教会,こうべしょうてんきょうかい,652-0015,神戸市兵庫区下祇園町39-7,34.688619,135.16914,ふたたび　SWING ME AGAIN,築約100年の木造教会。若かりし貴島（財津一郎さん）が婚約をした思い出の教会でのシーンを撮影
120,中央区,神戸インキュベーションオフィス,こうべいんきゅべーしょんおふぃす,650-0045,神戸市中央区港島9-1,34.660499,135.226083,悲しいボーイフレンド,岩津（寺脇康文さん）が香奈（寺島咲さん）に高速バスに無理やり乗せられるシーン
121,中央区,神戸高速鉄道西元町駅,こうべこうそくてつどうにしもとまちえき,650-0022,神戸市中央区元町通6-8-13,34.683895,135.179587,Sweet Rain 死神の精度,千葉（金城武さん）と一恵（小西真奈美さん）の出会いのシーンや千葉が黒犬と登場するシーンを撮影
122,兵庫区,湊川隧道（不定期公開）,みなとがわずいどう,652-0041,神戸市兵庫区湊川町9-1,34.681135,135.159465,新宿インシデント,鉄頭（ジャッキー・チェンさん）らが、どぶさらいをしているシーン。
123,中央区,東遊園地,ひがしゆうえんち,650-0001,神戸市中央区加納町6-1,34.687792,135.196391,僕の彼女はサイボーグ,彼女（綾瀬はるかさん）がジロー（小出恵介さん）のデート相手を噴水に投げ飛ばすシーンを撮影
